condition,date,expNumber,trace,negative_idx,positive_idx,negative_time_ms,positive_time_ms,negative_position_deg,positive_position_deg,negative_magnitude_deg,positive_magnitude_deg,negative_to_positive_change_deg,final_idx,final_time_ms,final_position_deg,final_distance_from_baseline_deg
antennae free – quiescence,2024_09_27,1,0,16,29,160,290,-7.176315789473682,7.071052631578947,7.176315789473682,7.071052631578947,14.247368421052629,57,570,0.644736842105263,0.644736842105263
antennae free – quiescence,2024_10_03,1,1,17,56,170,560,-6.2666666666666675,-0.31666666666666643,6.2666666666666675,-0.31666666666666643,5.950000000000001,57,570,-0.316666666666667,0.316666666666667
antennae free – quiescence,2024_10_17,1,2,19,56,190,560,-6.693750000000001,-0.2812500000000009,6.693750000000001,-0.2812500000000009,6.4125000000000005,57,570,-0.3187500000000014,0.3187500000000014
antennae free – quiescence,2024_10_22,1,3,21,57,210,570,-5.5807692307692305,-1.9115384615384619,5.5807692307692305,-1.9115384615384619,3.6692307692307686,57,570,-1.9115384615384619,1.9115384615384619
antennae free – quiescence,2024_10_22,3,4,21,43,210,430,-8.18,0.43999999999999995,8.18,0.43999999999999995,8.62,57,570,-1.2100000000000004,1.2100000000000004
antennae free – quiescence,2024_10_23,1,5,24,35,240,350,-7.8775,0.87125,7.8775,0.87125,8.748750000000001,57,570,-0.6500000000000001,0.6500000000000001
antennae free – quiescence,2024_10_24,2,6,23,32,230,320,-8.58405797101449,-0.5471014492753623,8.58405797101449,-0.5471014492753623,8.036956521739128,57,570,-1.3905797101449278,1.3905797101449278
antennae free – quiescence,2024_10_25,1,7,24,34,240,340,-6.0874999999999995,3.88,6.0874999999999995,3.88,9.9675,57,570,-0.88,0.88
antennae free – quiescence,2025_02_06,1,8,22,32,220,320,-9.475,4.6,9.475,4.6,14.075,57,570,0.6750000000000005,0.6750000000000005
antennae free – quiescence,2025_02_18,2,9,25,31,250,310,-6.575000000000001,5.225000000000001,6.575000000000001,5.225000000000001,11.800000000000002,57,570,-0.024999999999999467,0.024999999999999467
antennae free – quiescence,2025_02_19,3,10,21,31,210,310,-27.775,6.699999999999999,27.775,6.699999999999999,34.474999999999994,57,570,0.6124999999999997,0.6124999999999997
antennae free – quiescence,2025_02_20,1,11,21,33,210,330,-13.583333333333329,3.2769230769230764,13.583333333333329,3.2769230769230764,16.860256410256405,57,570,-0.5217948717948718,0.5217948717948718
antennae free – flight,2024_09_27,1,0,17,28,170,280,-11.121428571428572,10.964285714285714,11.121428571428572,10.964285714285714,22.085714285714285,57,570,2.535714285714285,2.535714285714285
antennae free – flight,2024_10_03,1,1,26,57,260,570,-6.705263157894737,-0.965789473684211,6.705263157894737,-0.965789473684211,5.739473684210526,57,570,-0.965789473684211,0.965789473684211
antennae free – flight,2024_10_17,1,2,26,57,260,570,-8.28,-0.5799999999999997,8.28,-0.5799999999999997,7.699999999999999,57,570,-0.5799999999999997,0.5799999999999997
antennae free – flight,2024_10_22,1,3,21,35,210,350,-5.52142857142857,1.6628571428571426,5.52142857142857,1.6628571428571426,7.184285714285712,57,570,0.9057142857142854,0.9057142857142854
antennae free – flight,2024_10_22,3,4,18,41,180,410,-8.304545454545453,3.2727272727272725,8.304545454545453,3.2727272727272725,11.577272727272724,57,570,-0.39090909090909076,0.39090909090909076
antennae free – flight,2024_10_23,1,5,23,36,230,360,-10.675,5.5,10.675,5.5,16.175,57,570,-0.22500000000000042,0.22500000000000042
antennae free – flight,2024_10_24,2,6,24,37,240,370,-8.63125,4.3875,8.63125,4.3875,13.01875,57,570,1.9812499999999997,1.9812499999999997
antennae free – flight,2024_10_25,1,7,18,37,180,370,-6.890909090909091,6.731818181818183,6.890909090909091,6.731818181818183,13.622727272727275,57,570,3.8249999999999997,3.8249999999999997
antennae free – flight,2025_02_06,1,8,22,31,220,310,-10.5734375,5.5874999999999995,10.5734375,5.5874999999999995,16.1609375,57,570,0.33593750000000006,0.33593750000000006
antennae free – flight,2025_02_18,2,9,22,33,220,330,-12.548484848484847,9.974242424242423,12.548484848484847,9.974242424242423,22.52272727272727,57,570,5.431818181818182,5.431818181818182
antennae free – flight,2025_02_19,3,10,21,33,210,330,-21.524418604651167,7.563953488372094,21.524418604651167,7.563953488372094,29.08837209302326,57,570,0.6418604651162791,0.6418604651162791
antennae free – flight,2025_02_20,1,11,21,34,210,340,-14.592857142857142,7.050000000000001,14.592857142857142,7.050000000000001,21.642857142857142,57,570,-3.2642857142857147,3.2642857142857147
antennae glued – quiescence,2025_01_13,1,0,23,57,230,570,-8.125609756097562,-0.5463414634146341,8.125609756097562,-0.5463414634146341,7.5792682926829285,57,570,-0.5463414634146341,0.5463414634146341
antennae glued – quiescence,2025_01_13,2,1,23,34,230,340,-8.194444444444445,0.5925925925925932,8.194444444444445,0.5925925925925932,8.787037037037038,57,570,-0.0722222222222218,0.0722222222222218
