fly,relAngle,condition,nTrials
0,2.98632352941177,controlNOFlight,34
1,1.836388888888893,controlNOFlight,33
2,3.42064516129032,controlNOFlight,31
3,2.187142857142857,controlNOFlight,35
4,1.5580989583333338,controlNOFlight,32
5,4.187575757575763,controlNOFlight,33
6,4.726691176470587,controlNOFlight,34
7,4.467068965517241,controlNOFlight,29
8,5.450624999999995,controlNOFlight,12
9,3.700643939393935,controlNOFlight,22
10,2.2265740740740805,controlNOFlight,27
11,4.537651515151515,controlNOFlight,11
12,3.8341666666666714,controlNOFlight,27
13,5.124843750000004,controlNOFlight,16
14,1.483333333333333,controlNOFlight,11
4,11.307499999999983,controlFlight,2
5,2.057499999999976,controlFlight,1
6,4.162499999999994,controlFlight,1
7,1.5039583333333226,controlFlight,4
8,5.851726190476195,controlFlight,14
9,5.930555555555543,controlFlight,3
10,6.421499999999992,controlFlight,5
11,3.9850308641975234,controlFlight,27
12,9.294444444444457,controlFlight,6
13,4.018684210526319,controlFlight,19
14,8.332962962962966,controlFlight,18
15,10.76702380952381,24C06NOFlight,14
16,2.679423076923073,24C06NOFlight,39
17,1.6224099099099156,24C06NOFlight,37
22,8.689444444444444,24C06NOFlight,15
23,12.512463768115943,24C06NOFlight,23
24,5.286594202898552,24C06NOFlight,23
26,4.943571428571437,24C06NOFlight,14
27,29.944791666666667,24C06NOFlight,20
28,6.173586956521732,24C06NOFlight,23
29,9.239833333333337,24C06NOFlight,15
30,25.868968253968255,24C06NOFlight,21
18,4.916666666666654,24C06Flight,4
19,5.108833333333331,24C06Flight,30
20,2.3427083333333307,24C06Flight,4
21,5.944166666666675,24C06Flight,1
22,3.740454545454557,24C06Flight,11
23,4.106277777777776,24C06Flight,15
25,2.635791666666663,24C06Flight,40
26,4.2910648148148125,24C06Flight,18
27,7.7012820512820515,24C06Flight,13
28,12.63529761904762,24C06Flight,14
29,1.7274275362318812,24C06Flight,23
30,4.202401960784304,24C06Flight,17
