fly,relAngle,condition,nTrials
0,0.6998333333333411,controlNOFlight,15
1,2.2252777777777717,controlNOFlight,9
2,3.1239999999999988,controlNOFlight,40
3,-1.0046969696969603,controlNOFlight,11
4,4.609947916666659,controlNOFlight,16
5,1.9139473684210502,controlNOFlight,19
7,7.324861111111101,controlNOFlight,12
8,5.357246376811597,controlNOFlight,23
9,3.195486111111111,controlNOFlight,12
10,2.0687878787878846,controlNOFlight,22
0,4.59920289855073,controlFlight,23
1,3.5682407407407357,controlFlight,27
3,3.4106521739130407,controlFlight,23
4,3.3110087719298185,controlFlight,19
5,3.4171031746031715,controlFlight,21
6,0.8551874999999967,controlFlight,40
7,3.0843452380952354,controlFlight,28
8,0.8144791666666649,controlFlight,16
9,-1.1411728395061667,controlFlight,27
10,1.116555555555552,controlFlight,15
11,1.1074583333333237,24C06NOFlight,20
12,-2.1170833333333263,24C06NOFlight,6
13,-1.8342361111111198,24C06NOFlight,12
14,-2.433522727272722,24C06NOFlight,22
15,-2.5756944444444403,24C06NOFlight,18
16,-0.734814814814816,24C06NOFlight,18
17,-0.2907083333333354,24C06NOFlight,20
18,-1.3615476190476272,24C06NOFlight,7
19,-0.30035087719298453,24C06NOFlight,19
20,0.5042857142857307,24C06NOFlight,14
21,-1.1854166666666615,24C06NOFlight,24
11,-5.475049019607845,24C06Flight,17
12,-9.124509803921573,24C06Flight,34
13,-1.0172530864197469,24C06Flight,27
14,0.5535784313725438,24C06Flight,17
15,-0.22312500000000313,24C06Flight,16
16,0.786249999999999,24C06Flight,8
17,0.8327450980392106,24C06Flight,17
18,-0.39219696969696527,24C06Flight,33
19,2.996349206349195,24C06Flight,21
20,1.1669444444444632,24C06Flight,12
21,-3.222999999999999,24C06Flight,10
